Id,Name,Canonical,Region,Country,Country Code
"1000002","Kabul","Kabul,Kabul,Afghanistan","Kabul","Afghanistan",af"
"1000003","Luanda","Luanda,Luanda Province,Angola","Luanda Province","Angola",ao"
"1000004","The Valley","The Valley,Anguilla","","Anguilla",ai"
"1000010","Abu Dhabi","Abu Dhabi,Abu Dhabi,United Arab Emirates","Abu Dhabi","United Arab Emirates",ae"
"1000011","Ajman","Ajman,Ajman,United Arab Emirates","Ajman","United Arab Emirates",ae"
"1000012","Al Ain","Al Ain,Abu Dhabi,United Arab Emirates","Abu Dhabi","United Arab Emirates",ae"
"1000013","Dubai","Dubai,Dubai,United Arab Emirates","Dubai","United Arab Emirates",ae"
"1000014","Ras Al-Khaimah","Ras Al-Khaimah,Ras al Khaimah,United Arab Emirates","Ras al Khaimah","United Arab Emirates",ae"
"1000018","Salta","Salta,Salta Province,Argentina","Salta Province","Argentina",ar"
"1000021","Avellaneda","Avellaneda,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000024","Bahia Blanca","Bahia Blanca,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000025","Balcarce","Balcarce,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000027","Brandsen","Brandsen,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000028","Campana","Campana,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000029","Chacabuco","Chacabuco,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000030","Colon","Colon,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000031","Del Viso","Del Viso,Pilar,Buenos Aires Province,Argentina","Pilar,Buenos Aires Province","Argentina",ar"
"1000035","Isidro Casanova","Isidro Casanova,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000036","Junin","Junin,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000037","La Plata","La Plata,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000039","Lomas de Zamora","Lomas de Zamora,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000040","Luis Guillon","Luis Guillon,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000041","Lujan","Lujan,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000042","Mar del Plata","Mar del Plata,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000044","Moron","Moron,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000045","Olavarria","Olavarria,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000047","Pergamino","Pergamino,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000050","Pinamar","Pinamar,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000053","Quilmes","Quilmes,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000058","San Antonio de Padua","San Antonio de Padua,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000059","San Fernando","San Fernando,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000060","San Isidro","San Isidro,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000062","San Nicolas de los Arroyos","San Nicolas de los Arroyos,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000063","San Pedro","San Pedro,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000065","Tandil","Tandil,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000066","Tortuguitas","Tortuguitas,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000067","Trenque Lauquen","Trenque Lauquen,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000069","Vicente Lopez","Vicente Lopez,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000070","Villa Gesell","Villa Gesell,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000072","Zarate","Zarate,Buenos Aires Province,Argentina","Buenos Aires Province","Argentina",ar"
"1000073","Buenos Aires","Buenos Aires,Buenos Aires,Argentina","Buenos Aires","Argentina",ar"
"1000075","Concepcion del Uruguay","Concepcion del Uruguay,Entre Rios,Argentina","Entre Rios","Argentina",ar"
"1000077","Gualeguaychu","Gualeguaychu,Entre Rios,Argentina","Entre Rios","Argentina",ar"
"1000078","Parana","Parana,Entre Rios,Argentina","Entre Rios","Argentina",ar"
"1000080","La Rioja","La Rioja,La Rioja Province,Argentina","La Rioja Province","Argentina",ar"
"1000081","Santiago del Estero","Santiago del Estero,Santiago del Estero Province,Argentina","Santiago del Estero Province","Argentina",ar"
"1000082","Resistencia","Resistencia,Chaco Province,Argentina","Chaco Province","Argentina",ar"
"1000083","Roque Saenz Pena","Roque Saenz Pena,Santa Fe Province,Argentina","Santa Fe Province","Argentina",ar"
"1000085","San Juan","San Juan,San Juan Province,Argentina","San Juan Province","Argentina",ar"
"1000086","Catamarca","Catamarca,Catamarca Province,Argentina","Catamarca Province","Argentina",ar"
"1000088","General Pico","General Pico,La Pampa,Argentina","La Pampa","Argentina",ar"
"1000089","Santa Rosa","Santa Rosa,La Pampa,Argentina","La Pampa","Argentina",ar"
"1000092","Mendoza","Mendoza,Mendoza Province,Argentina","Mendoza Province","Argentina",ar"
"1000094","San Martin","San Martin,Mendoza Province,Argentina","Mendoza Province","Argentina",ar"
"1000095","San Rafael","San Rafael,Mendoza Province,Argentina","Mendoza Province","Argentina",ar"
"1000096","Posadas","Posadas,Misiones Province,Argentina","Misiones Province","Argentina",ar"
"1000097","Formosa","Formosa,Formosa Province,Argentina","Formosa Province","Argentina",ar"
"1000099","Neuquen","Neuquen,Neuquen,Argentina","Neuquen","Argentina",ar"
"1000100","San Martin de los Andes","San Martin de los Andes,Neuquen,Argentina","Neuquen","Argentina",ar"
"1000104","San Carlos de Bariloche","San Carlos de Bariloche,Rio Negro,Argentina","Rio Negro","Argentina",ar"
"1000105","Viedma","Viedma,Rio Negro,Argentina","Rio Negro","Argentina",ar"
"1000108","Rafaela","Rafaela,Santa Fe Province,Argentina","Santa Fe Province","Argentina",ar"
"1000109","Rosario","Rosario,Santa Fe Province,Argentina","Santa Fe Province","Argentina",ar"
"1000112","Santa Fe","Santa Fe,Santa Fe Province,Argentina","Santa Fe Province","Argentina",ar"
"1000114","Venado Tuerto","Venado Tuerto,Santa Fe Province,Argentina","Santa Fe Province","Argentina",ar"
"1000115","Villa Constitucion","Villa Constitucion,Santa Fe Province,Argentina","Santa Fe Province","Argentina",ar"
"1000116","San Miguel de Tucuman","San Miguel de Tucuman,Tucuman,Argentina","Tucuman","Argentina",ar"
"1000117","Comodoro Rivadavia","Comodoro Rivadavia,Chubut Province,Argentina","Chubut Province","Argentina",ar"
"1000119","Puerto Madryn","Puerto Madryn,Chubut Province,Argentina","Chubut Province","Argentina",ar"
"1000121","Rio Grande","Rio Grande,Tierra del Fuego Province,Argentina","Tierra del Fuego Province","Argentina",ar"
"1000122","Ushuaia","Ushuaia,Tierra del Fuego Province,Argentina","Tierra del Fuego Province","Argentina",ar"
"1000123","Corrientes","Corrientes,Corrientes,Argentina","Corrientes","Argentina",ar"
"1000126","Cordoba","Cordoba,Cordoba,Argentina","Cordoba","Argentina",ar"
"1000128","Rio Cuarto","Rio Cuarto,Cordoba,Argentina","Cordoba","Argentina",ar"
"1000129","San Francisco","San Francisco,Cordoba,Argentina","Cordoba","Argentina",ar"
"1000130","Villa Maria","Villa Maria,Cordoba,Argentina","Cordoba","Argentina",ar"
"1000133","Jujuy","Jujuy,Jujuy,Argentina","Jujuy","Argentina",ar"
"1000134","Caleta Olivia","Caleta Olivia,Santa Cruz Province,Argentina","Santa Cruz Province","Argentina",ar"
"1000135","Rio Gallegos","Rio Gallegos,Santa Cruz Province,Argentina","Santa Cruz Province","Argentina",ar"
"1000138","Saint John's","Saint John's,Saint John,Antigua and Barbuda","Saint John","Antigua and Barbuda",ag"
"1000142","Canberra","Canberra,Australian Capital Territory,Australia","Australian Capital Territory","Australia",au"
"1000144","Barwon Downs","Barwon Downs,Victoria,Australia","Victoria","Australia",au"
"1000148","Albury","Albury,New South Wales,Australia","New South Wales","Australia",au"
