Id,Name,Canonical,Region,Country,Country Code
"1004497","Emsland","Emsland,Lower Saxony,Germany","Lower Saxony","Germany","de"
"1006453","Alderney","Alderney,Guernsey","","Guernsey","gg"
"1006676","Devon","Devon,England,United Kingdom","England","United Kingdom","gb"
"1007131","Suffolk","Suffolk,England,United Kingdom","England","United Kingdom","gb"
"1007144","Swindon","Swindon,England,United Kingdom","England","United Kingdom","gb"
"1007165","Thurrock","Thurrock,England,United Kingdom","England","United Kingdom","gb"
"1007172","Torbay","Torbay,England,United Kingdom","England","United Kingdom","gb"
"1007200","Warrington","Warrington,England,United Kingdom","England","United Kingdom","gb"
"1007331","Fife","Fife,Scotland,United Kingdom","Scotland","United Kingdom","gb"
"1007406","West Lothian","West Lothian,Scotland,United Kingdom","Scotland","United Kingdom","gb"
"1007432","Blaenau Gwent","Blaenau Gwent,Wales,United Kingdom","Wales","United Kingdom","gb"
"1012965","Calhoun County","Calhoun County,Alabama,United States","Alabama","United States","us"
"1013447","Mohave County","Mohave County,Arizona,United States","Arizona","United States","us"
"1014091","Orange County","Orange County,California,United States","California","United States","us"
"1014498","El Paso County","El Paso County,Colorado,United States","Colorado","United States","us"
"1014637","Summit County","Summit County,Colorado,United States","Colorado","United States","us"
"1014966","Brevard County","Brevard County,Florida,United States","Florida","United States","us"
"1014969","Broward County","Broward County,Florida,United States","Florida","United States","us"
"1014982","Citrus County","Citrus County,Florida,United States","Florida","United States","us"
"1015066","Jackson County","Jackson County,Florida,United States","Florida","United States","us"
"1015096","Leon County","Leon County,Florida,United States","Florida","United States","us"
"1015292","Chatham County","Chatham County,Georgia,United States","Georgia","United States","us"
"1015326","DeKalb County","DeKalb County,Georgia,United States","Georgia","United States","us"
"1015603","Maui County","Maui County,Hawaii,United States","Hawaii","United States","us"
"1015902","Marshall County","Marshall County,Iowa,United States","Iowa","United States","us"
"1015988","Polk County","Polk County,Iowa,United States","Iowa","United States","us"
"1016867","St. Clair County","St. Clair County,Illinois,United States","Illinois","United States","us"
"1017806","Jefferson County","Jefferson County,Kentucky,United States","Kentucky","United States","us"
"1018596","Garrett County","Garrett County,Maryland,United States","Maryland","United States","us"
"1018619","Howard County","Howard County,Maryland,United States","Maryland","United States","us"
"1018691","Prince George's County","Prince George's County,Maryland,United States","Maryland","United States","us"
"1019267","Eaton County","Eaton County,Michigan,United States","Michigan","United States","us"
"1019390","Kent County","Kent County,Michigan,United States","Michigan","United States","us"
"1019467","Montcalm County","Montcalm County,Michigan,United States","Michigan","United States","us"
"1019649","Washtenaw County","Washtenaw County,Michigan,United States","Michigan","United States","us"
"1019802","Dodge County","Dodge County,Minnesota,United States","Minnesota","United States","us"
"1019877","Hennepin County","Hennepin County,Minnesota,United States","Minnesota","United States","us"
"1019991","Mower County","Mower County,Minnesota,United States","Minnesota","United States","us"
"1021025","Buncombe County","Buncombe County,North Carolina,United States","North Carolina","United States","us"
"1021078","Dare County","Dare County,North Carolina,United States","North Carolina","United States","us"
"1021112","Forsyth County","Forsyth County,North Carolina,United States","North Carolina","United States","us"
"1021253","Onslow County","Onslow County,North Carolina,United States","North Carolina","United States","us"
"1021258","Pasquotank County","Pasquotank County,North Carolina,United States","North Carolina","United States","us"
"1022189","Hunterdon County","Hunterdon County,New Jersey,United States","New Jersey","United States","us"
"1023227","Onondaga County","Onondaga County,New York,United States","New York","United States","us"
"1023318","Rockland County","Rockland County,New York,United States","New York","United States","us"
"1023357","Seneca County","Seneca County,New York,United States","New York","United States","us"
"1023413","Suffolk County","Suffolk County,New York,United States","New York","United States","us"
"1023459","Washington County","Washington County,New York,United States","New York","United States","us"
"1023656","Darke County","Darke County,Ohio,United States","Ohio","United States","us"
"1023776","Knox County","Knox County,Ohio,United States","Ohio","United States","us"
"1024039","Trumbull County","Trumbull County,Ohio,United States","Ohio","United States","us"
"1024498","Lane County","Lane County,Oregon,United States","Oregon","United States","us"
"1024595","Washington County","Washington County,Oregon,United States","Oregon","United States","us"
"1024612","Adams County","Adams County,Pennsylvania,United States","Pennsylvania","United States","us"
"1024979","Juniata County","Juniata County,Pennsylvania,United States","Pennsylvania","United States","us"
"1025972","Dickson County","Dickson County,Tennessee,United States","Tennessee","United States","us"
"1026128","Shelby County","Shelby County,Tennessee,United States","Tennessee","United States","us"
"1026165","Williamson County","Williamson County,Tennessee,United States","Tennessee","United States","us"
"1026679","Parker County","Parker County,Texas,United States","Texas","United States","us"
"1026709","Potter County","Potter County,Texas,United States","Texas","United States","us"
