Id,Name,Canonical,Region,Country,Country Code
"9000000","A0A","A0A,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000001","A0B","A0B,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000002","A0C","A0C,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000003","A0E","A0E,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000004","A0G","A0G,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000005","A0H","A0H,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000006","A0J","A0J,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000007","A0K","A0K,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000008","A0L","A0L,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000009","A0M","A0M,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000010","A0N","A0N,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000011","A0P","A0P,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000012","A0R","A0R,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000013","A1A","A1A,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000014","A1B","A1B,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000015","A1C","A1C,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000016","A1E","A1E,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000017","A1G","A1G,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000018","A1H","A1H,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000019","A1K","A1K,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000020","A1L","A1L,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000021","A1M","A1M,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000022","A1N","A1N,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000023","A1S","A1S,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000024","A1V","A1V,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000025","A1W","A1W,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000026","A1X","A1X,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000027","A1Y","A1Y,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000028","A2A","A2A,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000029","A2B","A2B,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000030","A2H","A2H,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000031","A2N","A2N,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000032","A2V","A2V,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000033","A5A","A5A,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000034","A8A","A8A,Newfoundland and Labrador,Canada","Newfoundland and Labrador","Canada",ca"
"9000035","B0C","B0C,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000036","B0E","B0E,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000037","B0H","B0H,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000038","B0J","B0J,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000039","B0K","B0K,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000040","B0L","B0L,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000041","B0M","B0M,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000042","B0N","B0N,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000043","B0P","B0P,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000044","B0R","B0R,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000045","B0S","B0S,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000046","B0T","B0T,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000047","B0V","B0V,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000048","B0W","B0W,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000049","B1A","B1A,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000050","B1B","B1B,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000051","B1C","B1C,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000052","B1E","B1E,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000053","B1G","B1G,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000054","B1H","B1H,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000055","B1J","B1J,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000056","B1K","B1K,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000057","B1L","B1L,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000058","B1M","B1M,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000059","B1N","B1N,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000060","B1P","B1P,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000061","B1R","B1R,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000062","B1S","B1S,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000063","B1T","B1T,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000064","B1V","B1V,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000065","B1W","B1W,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000066","B1X","B1X,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000067","B1Y","B1Y,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000068","B2A","B2A,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000069","B2C","B2C,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000070","B2E","B2E,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000071","B2G","B2G,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000072","B2H","B2H,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000073","B2J","B2J,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000074","B2N","B2N,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000075","B2R","B2R,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000076","B2S","B2S,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000077","B2T","B2T,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000078","B2V","B2V,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000079","B2W","B2W,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000080","B2X","B2X,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000081","B2Y","B2Y,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000082","B2Z","B2Z,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000083","B3A","B3A,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000084","B3B","B3B,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000085","B3E","B3E,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000086","B3G","B3G,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000087","B3H","B3H,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000088","B3J","B3J,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000089","B3K","B3K,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000090","B3L","B3L,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000091","B3M","B3M,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000092","B3N","B3N,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000093","B3P","B3P,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000094","B3R","B3R,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000095","B3S","B3S,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000096","B3T","B3T,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000097","B3V","B3V,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000098","B3Z","B3Z,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000099","B4A","B4A,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000100","B4B","B4B,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000101","B4C","B4C,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000102","B4E","B4E,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000103","B4G","B4G,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000104","B4H","B4H,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000105","B4N","B4N,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000106","B4P","B4P,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000107","B4R","B4R,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000108","B4V","B4V,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000109","B5A","B5A,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000110","B6L","B6L,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000111","B9A","B9A,Nova Scotia,Canada","Nova Scotia","Canada",ca"
"9000112","C0A","C0A,Prince Edward Island,Canada","Prince Edward Island","Canada",ca"
"9000113","C0B","C0B,Prince Edward Island,Canada","Prince Edward Island","Canada",ca"
"9000114","C1A","C1A,Prince Edward Island,Canada","Prince Edward Island","Canada",ca"
"9000115","C1B","C1B,Prince Edward Island,Canada","Prince Edward Island","Canada",ca"
"9000116","C1C","C1C,Prince Edward Island,Canada","Prince Edward Island","Canada",ca"
"9000117","C1E","C1E,Prince Edward Island,Canada","Prince Edward Island","Canada",ca"
"9000118","C1N","C1N,Prince Edward Island,Canada","Prince Edward Island","Canada",ca"
"9000119","E1A","E1A,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000120","E1B","E1B,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000121","E1C","E1C,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000122","E1E","E1E,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000123","E1G","E1G,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000124","E1H","E1H,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000125","E1J","E1J,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000126","E1N","E1N,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000127","E1V","E1V,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000128","E1W","E1W,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000129","E1X","E1X,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000130","E2A","E2A,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000131","E2E","E2E,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000132","E2G","E2G,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000133","E2H","E2H,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000134","E2J","E2J,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000135","E2K","E2K,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000136","E2L","E2L,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000137","E2M","E2M,New Brunswick,Canada","New Brunswick","Canada",ca"
"9000138","E2N","E2N,New Brunswick,Canada","New Brunswick","Canada",ca"
