Id,Name,Canonical,Region,Country,Country Code
"20034","Australian Capital Territory","Australian Capital Territory,Australia","","Australia","au"
"20035","New South Wales","New South Wales,Australia","","Australia","au"
"20036","Northern Territory","Northern Territory,Australia","","Australia","au"
"20037","Queensland","Queensland,Australia","","Australia","au"
"20038","South Australia","South Australia,Australia","","Australia","au"
"20039","Tasmania","Tasmania,Australia","","Australia","au"
"20040","Victoria","Victoria,Australia","","Australia","au"
"20041","Western Australia","Western Australia,Australia","","Australia","au"
"20042","Burgenland","Burgenland,Austria","","Austria","at"
"20043","Carinthia","Carinthia,Austria","","Austria","at"
"20044","Lower Austria","Lower Austria,Austria","","Austria","at"
"20045","Upper Austria","Upper Austria,Austria","","Austria","at"
"20046","Salzburg","Salzburg,Austria","","Austria","at"
"20047","Styria","Styria,Austria","","Austria","at"
"20048","Tyrol","Tyrol,Austria","","Austria","at"
"20049","Vorarlberg","Vorarlberg,Austria","","Austria","at"
"20050","Vienna","Vienna,Austria","","Austria","at"
"20086","State of Alagoas","State of Alagoas,Brazil","","Brazil","br"
"20087","State of Amazonas","State of Amazonas,Brazil","","Brazil","br"
"20088","State of Bahia","State of Bahia,Brazil","","Brazil","br"
"20089","State of Ceara","State of Ceara,Brazil","","Brazil","br"
"20090","Federal District","Federal District,Brazil","","Brazil","br"
"20091","State of Espirito Santo","State of Espirito Santo,Brazil","","Brazil","br"
"20092","State of Goias","State of Goias,Brazil","","Brazil","br"
"20093","State of Maranhao","State of Maranhao,Brazil","","Brazil","br"
"20094","State of Minas Gerais","State of Minas Gerais,Brazil","","Brazil","br"
"20095","State of Mato Grosso do Sul","State of Mato Grosso do Sul,Brazil","","Brazil","br"
"20096","State of Mato Grosso","State of Mato Grosso,Brazil","","Brazil","br"
"20097","State of Para","State of Para,Brazil","","Brazil","br"
"20098","State of Paraiba","State of Paraiba,Brazil","","Brazil","br"
"20099","State of Pernambuco","State of Pernambuco,Brazil","","Brazil","br"
"20100","State of Piaui","State of Piaui,Brazil","","Brazil","br"
"20101","State of Parana","State of Parana,Brazil","","Brazil","br"
"20102","State of Rio de Janeiro","State of Rio de Janeiro,Brazil","","Brazil","br"
"20103","State of Rio Grande do Norte","State of Rio Grande do Norte,Brazil","","Brazil","br"
"20104","State of Rio Grande do Sul","State of Rio Grande do Sul,Brazil","","Brazil","br"
"20105","State of Santa Catarina","State of Santa Catarina,Brazil","","Brazil","br"
"20106","State of Sao Paulo","State of Sao Paulo,Brazil","","Brazil","br"
"20226","Berlin","Berlin,Germany","","Germany","de"
